Time Point,Cold.temp,Ambient.temp,
12/31/2016 15:30,6.128,10.663,
12/31/2016 16:00,5.975,10.638,
12/31/2016 16:30,5.872,10.638,
12/31/2016 17:00,5.949,10.614,
12/31/2016 17:30,6.051,10.614,
12/31/2016 18:00,6.128,10.614,
12/31/2016 18:30,6.204,10.614,
12/31/2016 19:00,6.204,10.59,
12/31/2016 19:30,6.051,10.614,
12/31/2016 20:00,5.949,10.614,
12/31/2016 20:30,5.924,10.614,
12/31/2016 21:00,6.026,10.614,
12/31/2016 21:30,6.153,10.614,
12/31/2016 22:00,6.23,10.614,
12/31/2016 22:30,6.179,10.614,
12/31/2016 23:00,6,10.614,
12/31/2016 23:30,5.924,10.59,
01/01/2017 00:00,5.872,10.59,
01/01/2017 00:30,6.026,10.541,
01/01/2017 01:00,6.128,10.492,
01/01/2017 01:30,6.23,10.467,
01/01/2017 02:00,6.077,10.418,
01/01/2017 02:30,5.949,10.369,
01/01/2017 03:00,5.872,10.369,
01/01/2017 03:30,5.975,10.345,
01/01/2017 04:00,6.077,10.296,
01/01/2017 04:30,6.179,10.271,
01/01/2017 05:00,6.23,10.271,
01/01/2017 05:30,6.077,10.296,
01/01/2017 06:00,5.949,10.32,
01/01/2017 06:30,5.924,10.345,
01/01/2017 07:00,6.026,10.345,
01/01/2017 07:30,6.153,10.369,
01/01/2017 08:00,6.23,10.418,
01/01/2017 08:30,6.179,10.394,
01/01/2017 09:00,6.102,10.418,
01/01/2017 09:30,5.949,10.443,
01/01/2017 10:00,5.898,10.443,
01/01/2017 10:30,6.077,10.443,
01/01/2017 11:00,6.153,10.443,
01/01/2017 11:30,6.204,10.467,
01/01/2017 12:00,6.102,10.492,
01/01/2017 12:30,5.949,10.492,
01/01/2017 13:00,5.872,10.492,
01/01/2017 13:30,5.975,10.467,
01/01/2017 14:00,6.077,10.492,
01/01/2017 14:30,6.153,10.467,
01/01/2017 15:00,6.23,10.443,
01/01/2017 15:30,6.077,10.443,
01/01/2017 16:00,5.949,10.418,
01/01/2017 16:30,5.872,10.394,
01/01/2017 17:00,5.975,10.369,
01/01/2017 17:30,6.102,10.32,
01/01/2017 18:00,6.179,10.32,
01/01/2017 18:30,6.23,10.32,
01/01/2017 19:00,6.179,10.296,
01/01/2017 19:30,6.026,10.271,
01/01/2017 20:00,5.924,10.271,
01/01/2017 20:30,5.924,10.247,
01/01/2017 21:00,6,10.247,
01/01/2017 21:30,6.128,10.247,
01/01/2017 22:00,6.23,10.247,
01/01/2017 22:30,6.204,10.222,
01/01/2017 23:00,6.051,10.222,
01/01/2017 23:30,5.924,10.222,
01/02/2017 00:00,5.872,10.198,
01/02/2017 00:30,6.051,10.149,
01/02/2017 01:00,6.153,10.149,
01/02/2017 01:30,6.204,10.124,
01/02/2017 02:00,6.077,10.1,
01/02/2017 02:30,5.924,10.075,
01/02/2017 03:00,5.872,10.051,
01/02/2017 03:30,6,10.026,
01/02/2017 04:00,6.128,10.026,
01/02/2017 04:30,6.23,10.001,
01/02/2017 05:00,6.179,9.977,
01/02/2017 05:30,6.026,10.001,
01/02/2017 06:00,5.949,10.026,
01/02/2017 06:30,5.898,10.026,
