BAG,GROUP,COHORT,TREATMENT,TEMP,PH,SIZE-CLASS,BAG-WEIGHT,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,5.6,8.85,10.85,6.95,5.72,3.4,4,5,4.4,3.98,2.98,2.75,3.15,10.02,6.08,10.5,10.22,5.71,8.9,5.92,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,8.48,8.75,7.15,8.02,6.05,7.65,6.52,6.52,7.85,7.1,6.92,7.6,5.55,4.65,6.75,5.72,6.4,5.4,4,6.4,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,4.15,5.45,3.3,3.72,4.52,2.7,2.95,2.7,3.19,3.45,3.3,11.3,9.15,10.08,5.8,8.15,8.68,6.3,5.45,5.75,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,5.55,8.4,6.85,9.08,11.9,9.75,7.45,7.95,9.18,7.2,5.85,5.15,8.15,6.42,6.5,4.05,6.55,5.65,5.9,4.45,,,,,,,
NA,HL10-AMB,HL,10-AMB,10,AMBIENT,NA,NA,4.38,4.1,3.55,3.35,3.95,5.4,11,8.9,6.9,10.4,,,,,,,,,,,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,9.65,10.7,5.57,6.8,8.8,5.99,12.9,3.75,4.1,6.75,11.6,15.5,5.2,7.48,6.18,14.1,12.02,5.08,3.68,5.95,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,9.75,13.45,14.5,11.2,12.22,7.45,8.5,4.6,5.3,5.08,2.45,7.4,6.55,6.65,12,7.4,6.7,2.95,5.85,6.95,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,6.95,4.45,6.71,6.6,5.75,4.33,3.4,5.39,3.35,3.7,3.7,4.55,8.55,5.75,4.05,7.75,6.6,4.15,2.4,4.1,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,2.5,3.3,4.72,3.9,4.05,2.65,3.35,6.6,13.5,6.92,5.4,5.98,11.2,4.65,7.95,8.8,6.32,5.42,7.43,10.52,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,9.29,12.85,6.72,8,3.92,7.98,8.4,13.78,5.2,5.79,8.82,4.93,7.15,6.6,5.12,5.35,5.45,7.8,6.25,6.85,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,10.65,10.6,4.58,5.95,11.7,6.95,10.3,4.1,7.02,5.29,4.17,2.35,5.25,3.7,4.1,5.92,3.9,3.72,9.55,5.5,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,4.5,2.9,4.63,11.22,6.72,13.25,9.6,11.3,7.18,4.35,6.35,6.48,5.6,5.05,5.7,4.1,5.12,4.98,4.99,4.45,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,4.4,4.15,4.71,5.78,3.49,5.15,3.95,5.05,4.95,6.15,4.49,3.48,4.73,3.85,3.35,4.2,4.15,3.35,3.49,2.52,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,4.05,3.05,3.6,2.3,11.6,11.4,13.65,11.42,8.99,9.69,7.75,7.73,6.8,7.43,10.48,5.72,6.75,6.5,5.38,3.62,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,4.49,5.65,6.02,6.2,4.95,5.08,4.4,2.25,2.05,7.4,9.85,7.13,11.08,5.85,13.9,13.12,11.93,8.1,8.12,10.65,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,14.58,9.15,6.82,4.68,5.52,6.2,5.9,6.98,5.75,6,4.51,4.65,2.05,2.53,2.49,2.25,2.22,2.3,2.48,1.7,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,9.8,11.63,11.3,11.15,9.8,9.45,12.72,8.95,6.2,8.31,7.9,6.12,4.95,6.18,5.85,6.88,5.9,4.75,4.88,2.89,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,3.02,4,4.22,9.95,11.68,9.12,6.87,7.98,4.35,5.12,6.82,5.69,5.89,8.92,6.13,8.57,7.25,3.93,6.29,5.82,,,,,,,
NA,HL10-LOW,HL,10-LOW,10,LOW,NA,NA,4.68,6.35,7.48,5.65,9.79,8.49,6.71,5.4,7.5,6.95,5.28,4.7,4.99,6.72,5.7,4.65,4.4,4.82,5.02,6.25,,,,,,,
NA,SN6-AMB-Exp,SN,6-AMB-Exp,6,AMBIENT,NA,NA,12.73,12.15,12.7,9.6,6.73,10.86,9.08,12.14,11.47,8.94,14.31,14.91,15.25,11.63,11.95,10.3,9.52,21.13,12.32,12.42,,,,,,,
NA,SN6-AMB-Exp,SN,6-AMB-Exp,6,AMBIENT,NA,NA,14.01,14.77,15.7,16.4,10.74,16.88,12.83,11.76,8.89,10.17,14.85,14.11,12.85,11.3,11.29,10.18,11.06,10.76,9.91,12.17,,,,,,,
NA,SN6-AMB-Exp,SN,6-AMB-Exp,6,AMBIENT,NA,NA,8.52,8.86,8.12,8.78,,,,,,,,,,,,,,,,,,,,,,,
NA,SN6-AMB-Exp,SN,6-AMB-Exp,6,AMBIENT,NA,NA,16.72,13.59,14.21,13.06,14.31,17.08,14.37,13.55,16.25,13.89,13.77,13.85,14.18,13.91,14.74,13.3,15.4,15.73,15.41,11.75,14.88,18.52,15.03,13.09,,,
NA,SN10-LOW-Exp,SN,10-LOW-Exp,10,LOW,NA,NA,15.14,12.48,11.39,15.71,16.13,13.03,11.26,16.56,7.7,11.69,18.49,14.04,10.12,11.14,12.54,13.89,8.11,12.48,12.94,,,,,,,,
NA,SN10-AMB-Exp,SN,10-AMB-Exp,10,AMBIENT,NA,NA,19.09,16.16,16.89,18.79,,,,,,,,,,,,,,,,,,,,,,,
NA,SN6-LOW-Exp,SN,6-LOW-Exp,6,LOW,NA,NA,14.33,13.27,19.12,12.01,15.4,13.99,15.13,12.72,14.92,14.18,16.61,12.75,18.38,13.96,17.51,14.76,14.95,14.34,15.77,15.17,16.83,18.22,14.9,13.19,,,
NA,SN6-LOW-Exp,SN,6-LOW-Exp,6,LOW,NA,NA,18.79,17.59,19.2,15.52,12.2,16.2,16.73,14.69,10.68,16.41,15.89,12.97,12.97,15.21,14.64,19.66,16.45,18.09,12.23,13.68,,,,,,,
NA,SN6-LOW-Exp,SN,6-LOW-Exp,6,LOW,NA,NA,11.98,5.77,15.83,13.26,13.46,11.42,11.95,12.03,13.77,11.74,12.6,13.62,9.3,5.75,13.79,11.57,6.74,9.96,6.09,8.99,,,,,,,
NA,SN6-LOW-Exp,SN,6-LOW-Exp,6,LOW,NA,NA,10.73,10.8,11.54,6.11,10.77,12.98,10.57,9.26,13.8,9.97,11.45,14.57,11.39,10.73,10.95,10.65,9.48,12.09,12.15,8.98,,,,,,,
NA,SN6-LOW-Exp,SN,6-LOW-Exp,6,LOW,NA,NA,10.38,12.17,9,10.71,8.76,11.57,9.91,10.53,8.86,9.22,9.59,7.86,10.71,12.37,9.87,9.62,9.64,10.27,11.04,10.48,,,,,,,
NA,SN6-LOW-Exp,SN,6-LOW-Exp,6,LOW,NA,NA,8.78,9.83,9.79,10,9.65,8.57,8.22,7.41,10.11,11.06,8.39,9.14,9,8.79,9.64,7.78,9.57,9,8.37,9.13,,,,,,,
NA,SN6-LOW-Exp,SN,6-LOW-Exp,6,LOW,NA,NA,11.65,11.74,9.87,9.18,7.39,6.72,9.77,10.67,9.12,10.72,9.99,9.31,8.25,9.86,9.13,8.99,8.2,8.28,7.75,7.39,,,,,,,
NA,SN6-LOW-Exp,SN,6-LOW-Exp,6,LOW,NA,NA,8.42,7.49,8.25,7.82,6.52,6.49,6.88,8.54,6.07,5.26,5.11,8.72,8.55,7.08,9.04,7.53,6.41,7.13,8.71,9.64,,,,,,,
NA,SN6-LOW-Exp,SN,6-LOW-Exp,6,LOW,NA,NA,8.47,6.41,6.6,7.49,8.9,8.31,8.35,8.65,8.1,6.33,9.04,7.73,6.66,5.87,8.39,7.45,7.85,6.82,4.78,6.7,,,,,,,
NA,SN6-LOW-Exp,SN,6-LOW-Exp,6,LOW,NA,NA,6.32,6.56,7.45,11.43,8.12,7.22,7.32,7.47,5.64,5.9,,,,,,,,,,,,,,,,,
