BAG,GROUP,COHORT,TREATMENT,TEMP,PH,SIZE-CLASS,BAG-WEIGHT,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27
NA,HL6-AMB,HL,6-AMB,6,AMBIENT,NA,NA,4.2,5.59,3.6,5.47,3.53,7.46,6.6,3.97,,,,,,,,,,,,,,,,,,,
AVERAGE,HL6-LOW,HL,6-LOW,6,LOW,AVERAGE,,10.06,4.06,4.81,6.37,6.39,5.86,4.76,9.45,5.41,5.7,4.09,5.47,8.16,9.46,8.09,4.28,4.47,4.87,5.23,7.29,9.86,4.69,4.34,4.52,6.79,6.18,
73,HL6-LOW,HL,6-LOW,6,LOW,SMALL,0.1,5.04,5.67,4.59,4.74,5.04,3.18,5.02,5.76,5.34,4.4,4.45,4.33,4.69,4.16,4.56,,,,,,,,,,,,
74,HL6-LOW,HL,6-LOW,6,LOW,SMALL,0.2,4.8,3.8,5.48,4.26,4.69,4.35,4.98,5.94,5.32,3.7,3.85,5.36,5.17,4.36,5.44,,,,,,,,,,,,
75,HL6-LOW,HL,6-LOW,6,LOW,SMALL,0.2,4.5,4.96,4.95,5.66,4.08,5.37,5.9,4.99,4.77,5.4,5.62,6.1,6.13,5.07,4.87,,,,,,,,,,,,
76,HL6-LOW,HL,6-LOW,6,LOW,SMALL,0.2,5.26,4.84,4.29,3.92,4.36,5.09,5.72,5.92,4.46,5.36,4.9,5.33,5.22,4.61,5.22,,,,,,,,,,,,
77,HL6-LOW,HL,6-LOW,6,LOW,SMALL,0.2,4.83,5.56,4.7,5.05,5.28,5.33,4.73,4.22,4.27,5.96,5.35,4.78,4.86,5.39,5.63,,,,,,,,,,,,
78,HL6-LOW,HL,6-LOW,6,LOW,SMALL,0.2,5.85,5.35,4.11,4.45,5.76,5.59,4.43,5.37,5.52,5.7,5.21,5.06,4.74,5.88,4.41,,,,,,,,,,,,
79,HL6-LOW,HL,6-LOW,6,LOW,SMALL,0.2,4.42,4.39,5.15,5.56,5.39,5.89,5.68,6.05,4.48,5.3,4.76,4.68,4.25,5.34,5.23,,,,,,,,,,,,
80,HL6-LOW,HL,6-LOW,6,LOW,SMALL,0.2,6.13,5.82,5.95,5.95,5.22,5.54,3.88,5.51,3.44,3.99,5.3,5.65,4.8,5.64,5.01,,,,,,,,,,,,
81,HL6-LOW,HL,6-LOW,6,LOW,SMALL,0.2,5.06,5.83,4.85,5.71,4.94,5.11,4.42,4.26,5.93,5.99,4.74,5.88,4.66,5.23,4.5,,,,,,,,,,,,
82,HL6-LOW,HL,6-LOW,6,LOW,SMALL,0.2,4.78,3.89,4.93,4.77,4.26,5.52,5.29,s,4.21,4.57,5.77,5.2,4.47,5.96,3.79,,,,,,,,,,,,
83,HL6-LOW,HL,6-LOW,6,LOW,SMALL,0.2,4.06,4.86,4.43,4.96,4.62,4.61,4.67,4.16,5.25,5.5,4.47,5.27,5.88,5.95,5.37,,,,,,,,,,,,
84,HL6-LOW,HL,6-LOW,6,LOW,SMALL,0.2,4.52,4.27,4.91,5.09,4.78,5.64,6.02,3.69,5.59,4.74,4.59,5.33,5.24,5.74,6.09,,,,,,,,,,,,
85,HL6-LOW,HL,6-LOW,6,LOW,LARGE,0.6,7.2,6.89,9.35,6.87,9.76,7.43,8.07,6.54,7.93,6.78,9.11,6.85,10.79,7.11,6.64,,,,,,,,,,,,
86,HL6-LOW,HL,6-LOW,6,LOW,LARGE,0.8,6.99,7.3,7.23,9.97,8.45,7.5,8.21,8.67,6.28,6.21,9.75,9.24,7.17,7.26,10.21,,,,,,,,,,,,
87,HL6-LOW,HL,6-LOW,6,LOW,LARGE,0.7,7.14,7.95,7.51,6.22,6.38,6.61,6.26,8.64,9.99,6.36,6.34,7.58,7.56,10.91,8.25,,,,,,,,,,,,
88,HL6-LOW,HL,6-LOW,6,LOW,LARGE,0.9,7.53,7.68,9.81,6.6,7.33,6.81,6.23,6.22,7.16,14.36,7.17,8.5,6.65,8.27,6.8,,,,,,,,,,,,
89,HL6-LOW,HL,6-LOW,6,LOW,LARGE,0.7,6.71,7.71,7.74,7.28,7.26,7.33,9.3,9.32,7.29,10.01,9.18,8.35,8.02,7.16,7.61,,,,,,,,,,,,
90,HL6-LOW,HL,6-LOW,6,LOW,LARGE,0.7,6.32,6.87,6.29,7,6.58,8.16,6.61,7.88,9.8,6.81,9.69,8.75,7.01,7.45,7.07,,,,,,,,,,,,
91,HL6-LOW,HL,6-LOW,6,LOW,LARGE,0.6,7.02,12.01,7.04,7.76,7.71,8.81,6.88,6.69,6.21,6.47,6.98,7.4,6.44,6.66,6.19,,,,,,,,,,,,
92,HL6-LOW,HL,6-LOW,6,LOW,LARGE,0.6,6.96,7.18,7.08,7.44,8.55,6.72,6.21,7.75,9.43,8.27,8.18,8.22,6.21,6.37,7.35,,,,,,,,,,,,
93,HL6-LOW,HL,6-LOW,6,LOW,LARGE,0.9,6.27,10.09,7.55,8.57,6.24,8.09,9.31,8.98,6.83,6.79,7.95,7.25,9.69,7.59,9.3,,,,,,,,,,,,
94,HL6-LOW,HL,6-LOW,6,LOW,LARGE,0.9,8.87,10.97,8.02,6.86,7.64,7.54,8.94,8.86,7.57,6.98,7.65,7.04,7.3,9,8.32,,,,,,,,,,,,
95,HL6-LOW,HL,6-LOW,6,LOW,LARGE,0.6,8.72,7.97,6.43,7.73,6.44,6.66,6.95,6.84,8.49,6.73,6.66,7,7.32,6.7,6.08,,,,,,,,,,,,
96,HL6-LOW,HL,6-LOW,6,LOW,LARGE,0.5,6.17,6.62,7.01,6.29,6.84,6.18,7.01,6.16,7.17,6.74,6.88,8.71,7.4,6.24,6.29,,,,,,,,,,,,
NA,HL6-LOW,HL,6-LOW,6,LOW,NA,NA,6.07,5.22,3.66,5.86,5.32,3.14,2.9,4.43,5.79,4.38,5.13,4.16,4.95,3.68,5.2,4.7,3.57,3.73,3.58,5.15,,,,,,,
NA,HL6-LOW,HL,6-LOW,6,LOW,NA,NA,3.12,5.16,3.68,3.47,5.07,6.01,3.03,3.41,3.29,3.62,3.83,5.41,4.32,3.35,6.43,5.25,4.22,2.4,2.08,4.07,,,,,,,
NA,HL6-LOW,HL,6-LOW,6,LOW,NA,NA,3.97,5.42,5.03,5.55,2.89,6.57,4.24,3.99,2.72,3.57,6.38,2.99,4.11,4.3,4.99,4.6,3.21,5.41,3,3.66,,,,,,,
