GROUP,COHORT,TREATMENT,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,
SN6-AMB,SN,6-AMB,13.51,14.05,13.18,15.83,16.96,,,,,,,,,,,,,,,,,,,,,,,
SN6-AMB,SN,6-AMB,15.54,14.77,13.76,19.13,15.45,,,,,,,,,,,,,,,,,,,,,,,
SN6-AMB,SN,6-AMB,14.45,12.15,14.47,12.35,12.31,,,,,,,,,,,,,,,,,,,,,,,
SN6-AMB,SN,6-AMB,11.53,17.78,13.91,14.1,16.1,,,,,,,,,,,,,,,,,,,,,,,
SN6-AMB,SN,6-AMB,11.51,11.76,12.09,13.06,14.35,,,,,,,,,,,,,,,,,,,,,,,
SN6-AMB,SN,6-AMB,12.87,13.96,15.69,12.77,14.93,,,,,,,,,,,,,,,,,,,,,,,
SN6-AMB,SN,6-AMB,18.32,12.5,11.83,10.7,10.06,,,,,,,,,,,,,,,,,,,,,,,
SN6-AMB,SN,6-AMB,9.62,8.55,7.57,8.93,4.78,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,18.27,13.9,14.73,7.85,10.22,17.39,14.99,11.32,9.02,8.51,5.48,5.31,17.35,7.15,10.8,11.9,10.76,7.55,8.88,7.26,13.59,4.93,13.01,9.4,11.49,,,
SN6-LOW,SN,6-LOW,9.46,7.75,9.94,9.9,7.69,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,7.65,10.71,10.49,4.71,8.76,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,8.82,10.12,7.66,7.34,10.69,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,10.43,7.92,7.86,5.31,8.97,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,5.71,5.9,8.22,7.25,5.35,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,10.3,9.66,6.35,7.35,8.9,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,9.45,6.3,5.87,10.75,7.97,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,8.42,10.7,8.65,10.65,10.2,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,8.37,6.69,6.84,9.77,7.05,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,9.04,8.65,7.83,6.31,9.53,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,9.94,8.16,5.87,7.51,6.1,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,9.36,9.71,7.94,7.22,6.7,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,9.76,7.98,5.24,6.61,9.09,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,5.66,9.56,7.63,9.01,7.22,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,5.73,9.98,7.77,6.03,8.7,,,,,,,,,,,,,,,,,,,,,,,
SN6-LOW,SN,6-LOW,8.67,6.9,10.41,6.86,8.66,,,,,,,,,,,,,,,,,,,,,,,
