,,3 ,3 ,3 ,3 ,3 ,3 ,3 ,12 ,12 ,12 ,12 ,12 ,12 ,12 ,8 ,8 ,8 ,8 ,8 ,8 ,8 ,10 ,10 ,10 ,10 ,10 ,10 ,10 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,7 ,7 ,7 ,7 ,7 ,7 ,7 ,16 ,16 ,16 ,16 ,16 ,16 ,16 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,19 ,19 ,19 ,19 ,19 ,19 ,19 ,21 ,21 ,21 ,21 ,21 ,21 ,21 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,23 ,23 ,23 ,23 ,23 ,23 ,23 ,22 ,22 ,22 ,22 ,22 ,22 ,22 ,18 ,18 ,18 ,18 ,18 ,18 ,18 ,17 ,17 ,17 ,17 ,17 ,17 ,17 ,20 ,20 ,20 ,20 ,20 ,20 ,20 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,9 ,9 ,9 ,9 ,9 ,9 ,9 ,11 ,11 ,11 ,11 ,11 ,11 ,11 ,4 ,4 ,4 ,4 ,4 ,4 ,4 
Date,Screened,3.stocked,3.restocked,3.morts,3.setters,3.expected,3.actual,3.density,12.stocked,12.restocked,12.morts,12.setters,12.expected,12.actual,12.density,8.stocked,8.restocked,8.morts,8.setters,8.expected,8.actual,8.density,10.stocked,10.restocked,10.morts,10.setters,10.expected,10.actual,10.density,5.stocked,5.restocked,5.morts,5.setters,5.expected,5.actual,5.density,7.stocked,7.restocked,7.morts,7.setters,7.expected,7.actual,7.density,16.stocked,16.restocked,16.morts,16.setters,16.expected,16.actual,16.density,13.stocked,13.restocked,13.morts,13.setters,13.expected,13.actual,13.density,19.stocked,19.restocked,19.morts,19.setters,19.expected,19.actual,19.density,21.stocked,21.restocked,21.morts,21.setters,21.expected,21.actual,21.density,24.stocked,24.restocked,24.morts,24.setters,24.expected,24.actual,24.density,23.stocked,23.restocked,23.morts,23.setters,23.expected,23.actual,23.density,22.stocked,22.restocked,22.morts,22.setters,22.expected,22.actual,22.density,18.stocked,18.restocked,18.morts,18.setters,18.expected,18.actual,18.density,17.stocked,17.restocked,17.morts,17.setters,17.expected,17.actual,17.density,20.stocked,20.restocked,20.morts,20.setters,20.expected,20.actual,20.density,1.stocked,1.restocked,1.morts,1.setters,1.expected,1.actual,1.density,9.stocked,9.restocked,9.morts,9.setters,9.expected,9.actual,9.density,11.stocked,11.restocked,11.morts,11.setters,11.expected,11.actual,11.density,4.stocked,4.restocked,4.morts,4.setters,4.expected,4.actual,4.density
5/27/17,N,4917 ,0 ,0 ,0 ,,0 ,74783 ,4958 ,0 ,0 ,0 ,,0 ,92958 ,10625 ,0 ,0 ,0 ,,0 ,76992 ,8017 ,0 ,0 ,0 ,,0 ,143817 ,0 ,0 ,0 ,0 ,,0 ,112000 ,0 ,0 ,0 ,0 ,,0 ,179400 ,1400 ,0 ,0 ,0 ,,0 ,99000 ,85867 ,0 ,0 ,0 ,,0 ,183467 ,0 ,0 ,0 ,0 ,,0 ,74267 ,117867 ,0 ,0 ,0 ,,0 ,162067 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,0 ,86933 ,21600 ,0 ,0 ,0 ,,0 ,111600 ,0 ,0 ,0 ,0 ,,0 ,20667 ,0 ,0 ,0 ,0 ,,0 ,75667 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,52250 ,0 ,0 ,0 ,,0 ,172783 ,0 ,0 ,0 ,0 ,,0 ,118400 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 
5/28/17,N,0 ,0 ,0 ,0 ,,0 ,74783 ,0 ,0 ,0 ,0 ,,0 ,92958 ,0 ,0 ,0 ,0 ,,0 ,76992 ,0 ,0 ,0 ,0 ,,0 ,143817 ,0 ,0 ,0 ,0 ,,0 ,112000 ,0 ,0 ,0 ,0 ,,0 ,179400 ,0 ,0 ,0 ,0 ,,0 ,99000 ,0 ,0 ,0 ,0 ,,0 ,183467 ,0 ,0 ,0 ,0 ,,0 ,74267 ,0 ,0 ,0 ,0 ,,0 ,162067 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,0 ,86933 ,0 ,0 ,0 ,0 ,,0 ,111600 ,0 ,0 ,0 ,0 ,,0 ,20667 ,0 ,0 ,0 ,0 ,,0 ,75667 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,0 ,172783 ,0 ,0 ,0 ,0 ,,0 ,118400 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 
5/29/17,N,0 ,0 ,0 ,0 ,,0 ,74783 ,0 ,0 ,0 ,0 ,,0 ,92958 ,53700 ,0 ,0 ,0 ,,0 ,130692 ,0 ,0 ,0 ,0 ,,0 ,143817 ,0 ,0 ,0 ,0 ,,0 ,112000 ,0 ,0 ,0 ,0 ,,0 ,179400 ,0 ,0 ,0 ,0 ,,0 ,99000 ,0 ,0 ,0 ,0 ,,0 ,183467 ,0 ,0 ,0 ,0 ,,0 ,74267 ,0 ,0 ,0 ,0 ,,0 ,162067 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,0 ,86933 ,0 ,0 ,0 ,0 ,,0 ,111600 ,0 ,0 ,0 ,0 ,,0 ,20667 ,0 ,0 ,0 ,0 ,,0 ,75667 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,4500 ,0 ,0 ,0 ,,0 ,177283 ,0 ,0 ,0 ,0 ,,0 ,118400 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 
5/30/17,Y,0 ,34667 ,0 ,0 ,74783 ,34667 ,34667 ,0 ,54933 ,0 ,0 ,92958 ,54933 ,54933 ,0 ,36800 ,0 ,0 ,130692 ,36800 ,36800 ,0 ,35200 ,0 ,0 ,143817 ,35200 ,35200 ,0 ,32667 ,0 ,0 ,112000 ,32667 ,32667 ,0 ,37867 ,0 ,0 ,179400 ,37867 ,37867 ,0 ,19733 ,0 ,0 ,99000 ,19733 ,19733 ,0 ,98667 ,0 ,0 ,183467 ,98667 ,98667 ,0 ,60267 ,0 ,0 ,74267 ,60267 ,60267 ,0 ,96533 ,0 ,0 ,162067 ,96533 ,96533 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,74133 ,0 ,0 ,86933 ,74133 ,74133 ,0 ,69867 ,0 ,0 ,111600 ,69867 ,69867 ,0 ,17600 ,0 ,0 ,20667 ,17600 ,17600 ,0 ,83200 ,0 ,0 ,75667 ,83200 ,83200 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,77333 ,0 ,0 ,177283 ,77333 ,77333 ,0 ,25600 ,0 ,0 ,118400 ,25600 ,25600 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
5/31/17,Y,0 ,16000 ,0 ,0 ,34667 ,16000 ,16000 ,0 ,13600 ,0 ,0 ,54933 ,13600 ,13600 ,1333 ,67200 ,0 ,0 ,36800 ,67200 ,68533 ,0 ,16800 ,0 ,0 ,35200 ,16800 ,16800 ,0 ,1600 ,0 ,0 ,32667 ,1600 ,1600 ,63000 ,10400 ,0 ,0 ,37867 ,10400 ,73400 ,0 ,400 ,0 ,0 ,19733 ,400 ,400 ,41067 ,#VALUE!,0 ,0 ,98667 ,#VALUE!,#VALUE!,72800 ,#VALUE!,0 ,0 ,60267 ,#VALUE!,#VALUE!,0 ,50400 ,0 ,0 ,96533 ,50400 ,50400 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,72000 ,0 ,0 ,74133 ,72000 ,72000 ,0 ,53600 ,0 ,0 ,69867 ,53600 ,53600 ,0 ,16800 ,0 ,0 ,17600 ,16800 ,16800 ,0 ,20800 ,0 ,0 ,83200 ,20800 ,20800 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,48800 ,0 ,0 ,77333 ,48800 ,48800 ,0 ,3200 ,0 ,0 ,25600 ,3200 ,3200 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
6/1/17,N,0 ,0 ,0 ,0 ,,0 ,16000 ,1467 ,0 ,0 ,0 ,,0 ,15067 ,0 ,0 ,0 ,0 ,,0 ,68533 ,0 ,0 ,0 ,0 ,,0 ,16800 ,79100 ,0 ,0 ,0 ,,0 ,80700 ,0 ,0 ,0 ,0 ,,0 ,73400 ,0 ,0 ,0 ,0 ,,0 ,400 ,750 ,0 ,0 ,0 ,,#VALUE!,#VALUE!,0 ,0 ,0 ,0 ,,#VALUE!,#VALUE!,0 ,0 ,0 ,0 ,,0 ,50400 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,40533 ,0 ,0 ,0 ,,0 ,112533 ,0 ,0 ,0 ,0 ,,0 ,53600 ,49867 ,0 ,0 ,0 ,,0 ,66667 ,0 ,0 ,0 ,0 ,,0 ,20800 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,0 ,48800 ,0 ,0 ,0 ,0 ,,0 ,3200 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 
6/2/17,N,0 ,0 ,0 ,0 ,,0 ,16000 ,0 ,0 ,0 ,0 ,,0 ,15067 ,0 ,0 ,0 ,0 ,,0 ,68533 ,0 ,0 ,0 ,0 ,,0 ,16800 ,0 ,0 ,0 ,0 ,,0 ,80700 ,0 ,0 ,0 ,0 ,,0 ,73400 ,0 ,0 ,0 ,0 ,,0 ,400 ,0 ,0 ,0 ,0 ,,#VALUE!,#VALUE!,0 ,0 ,0 ,0 ,,#VALUE!,#VALUE!,0 ,0 ,0 ,0 ,,0 ,50400 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,0 ,112533 ,0 ,0 ,0 ,0 ,,0 ,53600 ,0 ,0 ,0 ,0 ,,0 ,66667 ,0 ,0 ,0 ,0 ,,0 ,20800 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,0 ,48800 ,0 ,0 ,0 ,0 ,,0 ,3200 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 
6/3/17,N,58727 ,0 ,0 ,0 ,,0 ,74727 ,51333 ,0 ,0 ,0 ,,0 ,66400 ,0 ,0 ,0 ,0 ,,0 ,68533 ,0 ,0 ,0 ,0 ,,0 ,16800 ,152093 ,0 ,0 ,0 ,,0 ,232793 ,0 ,0 ,0 ,0 ,,0 ,73400 ,57417 ,0 ,0 ,0 ,,0 ,57817 ,0 ,0 ,0 ,0 ,,#VALUE!,#VALUE!,0 ,0 ,0 ,0 ,,#VALUE!,#VALUE!,0 ,0 ,0 ,0 ,,0 ,50400 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,50267 ,0 ,0 ,0 ,,0 ,162800 ,0 ,0 ,0 ,0 ,,0 ,53600 ,52650 ,0 ,0 ,0 ,,0 ,119317 ,0 ,0 ,0 ,0 ,,0 ,20800 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,0 ,48800 ,0 ,0 ,0 ,0 ,,0 ,3200 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 
6/4/17,N,2933 ,0 ,0 ,0 ,,0 ,77660 ,1200 ,0 ,0 ,0 ,,0 ,67600 ,0 ,0 ,0 ,0 ,,0 ,68533 ,0 ,0 ,0 ,0 ,,0 ,16800 ,0 ,0 ,0 ,0 ,,0 ,232793 ,0 ,0 ,0 ,0 ,,0 ,73400 ,0 ,0 ,0 ,0 ,,0 ,57817 ,0 ,0 ,0 ,0 ,,#VALUE!,#VALUE!,0 ,0 ,0 ,0 ,,#VALUE!,#VALUE!,0 ,0 ,0 ,0 ,,0 ,50400 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,0 ,162800 ,57833 ,0 ,0 ,0 ,,0 ,111433 ,0 ,0 ,0 ,0 ,,0 ,119317 ,0 ,0 ,0 ,0 ,,0 ,20800 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,0 ,48800 ,0 ,0 ,0 ,0 ,,0 ,3200 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 
6/5/17,Y,0 ,58807 ,0 ,0 ,77660 ,58807 ,58807 ,0 ,48307 ,0 ,90 ,67600 ,48397 ,48307 ,0 ,53218 ,0 ,90 ,68533 ,53308 ,53218 ,100000 ,7870 ,0 ,39 ,16800 ,7909 ,107870 ,42293 ,138920 ,0 ,0 ,232793 ,138920 ,181213 ,0 ,39093 ,0 ,116 ,73400 ,39209 ,39093 ,105933 ,38973 ,0 ,123 ,57817 ,39097 ,144907 ,0 ,95320 ,0 ,27 ,#VALUE!,95347 ,95320 ,0 ,88227 ,0 ,0 ,#VALUE!,88227 ,88227 ,0 ,70563 ,0 ,0 ,50400 ,70563 ,70563 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,89273 ,0 ,200 ,162800 ,89473 ,89273 ,17307 ,96013 ,0 ,940 ,111433 ,96953 ,113320 ,0 ,64220 ,0 ,56 ,119317 ,64276 ,64220 ,0 ,2175 ,0 ,0 ,20800 ,2175 ,2175 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6940 ,0 ,156 ,48800 ,7096 ,6940 ,0 ,0 ,0 ,0 ,3200 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
6/6/17,N,0 ,0 ,0 ,0 ,,0 ,58807 ,0 ,0 ,0 ,0 ,,0 ,48307 ,37800 ,0 ,0 ,0 ,,0 ,91018 ,1587 ,0 ,0 ,0 ,,0 ,109457 ,0 ,0 ,0 ,0 ,,0 ,181213 ,0 ,0 ,0 ,0 ,,0 ,39093 ,0 ,0 ,0 ,0 ,,0 ,144907 ,0 ,0 ,0 ,0 ,,0 ,95320 ,0 ,0 ,0 ,0 ,,0 ,88227 ,0 ,0 ,0 ,0 ,,0 ,70563 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,0 ,89273 ,0 ,0 ,0 ,0 ,,0 ,113320 ,0 ,0 ,0 ,0 ,,0 ,64220 ,0 ,0 ,0 ,0 ,,0 ,2175 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,0 ,6940 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 
6/7/17,N,77183 ,0 ,0 ,0 ,,0 ,135990 ,0 ,0 ,0 ,0 ,,0 ,48307 ,0 ,0 ,0 ,0 ,,0 ,91018 ,0 ,0 ,0 ,0 ,,0 ,109457 ,0 ,0 ,0 ,0 ,,0 ,181213 ,0 ,0 ,0 ,0 ,,0 ,39093 ,0 ,0 ,0 ,0 ,,0 ,144907 ,0 ,0 ,0 ,0 ,,0 ,95320 ,0 ,0 ,0 ,0 ,,0 ,88227 ,0 ,0 ,0 ,0 ,,0 ,70563 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,88167 ,0 ,0 ,0 ,,#DIV/0!,88167 ,0 ,0 ,0 ,0 ,,0 ,89273 ,0 ,0 ,0 ,0 ,,0 ,113320 ,0 ,0 ,0 ,0 ,,0 ,64220 ,38750 ,0 ,0 ,0 ,,0 ,40925 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,0 ,6940 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 ,0 ,0 ,0 ,0 ,,#DIV/0!,0 
